"Country ID","Country","Trade Value Export","Trade Value Import","Trade Value Delta","ISO 3"
"esp","España",363696106,1204857225,-841161119,"ESP"
"est","Estonia",155367,4364443,-4209076,"EST"
"fin","Finlandia",6359879,144565962,-138206083,"FIN"
"fra","Francia",239520188,789529333,-550009145,"FRA"
"gbr","Reino Unido",257243498,516220992,-258977494,"GBR"
"gib","Gibraltar",0,52759,-52759,"GIB"
"grc","Grecia",11186458,5465587,5720871,"GRC"
"hrv","Croacia",739343,22800595,-22061252,"HRV"
"hun","Hungría",126103655,611258170,-485154515,"HUN"
"imn","Isla de Man",0,24085,-24085,"IMN"
"irl","Irlanda",175066348,54093697,120972651,"IRL"
"isl","Islandia",174649,1401820,-1227171,"ISL"
"ita","Italia",166853535,2820847156,-2653993621,"ITA"
"jey","Bailía de Jersey",0,4231,-4231,"JEY"
"lie","Liechtenstein",2159997,40927254,-38767257,"LIE"
"ltu","Lituania",6487392,6685669,-198277,"LTU"
"lux","Luxemburgo",496209,24872284,-24376075,"LUX"
"lva","Letonia",17110,1842048,-1824938,"LVA"
"mco","Mónaco",0,4076996,-4076996,"MCO"
"mda","Moldavia",0,43604,-43604,"MDA"
"mkd","Macedonia del Norte",64780,12688724,-12623944,"MKD"
"mlt","Malta",31366,1792016,-1760650,"MLT"
"mne","Montenegro",253,10951,-10698,"MNE"
"nld","Países Bajos",459143015,255963789,203179226,"NLD"
"nor","Noruega",4711600,6656425,-1944825,"NOR"
"pol","Polonia",174957101,417512343,-242555242,"POL"
"prt","Portugal",4506356,124749494,-120243138,"PRT"
"rou","Rumania",26170641,146188364,-120017723,"ROU"
"rus","Rusia",812364,15231915,-14419551,"RUS"
"smr","San Marino",0,2784939,-2784939,"SMR"
"srb","Serbia",2080298,23561642,-21481344,"SRB"
"svk","Eslovaquia",9797209,105184337,-95387128,"SVK"
"svn","Eslovenia",4772197,30861623,-26089426,"SVN"
"swe","Suecia",42452915,306691156,-264238241,"SWE"
"ukr","Ucrania",24801,8238624,-8213823,"UKR"
"vat","Ciudad del Vaticano",0,7127,-7127,"VAT"
"yug","Yugoslavia",0,11505,-11505,"YUG"
"abw","Aruba",728708,769794,-41086,"ABW"
"aia","Anguilla",314,1498,-1184,"AIA"
"atg","Antigua y Barbuda",302373,137239,165134,"ATG"
"bes","Bonaire",15261,1219,14042,"BES"
"bhs","Las Bahamas",2603668,2632,2601036,"BHS"
"blz","Belice",8521848,273610,8248238,"BLZ"
"brb","Barbados",4438487,33459,4405028,"BRB"
"can","Canadá",3063676263,1642358908,1421317355,"CAN"
"cri","Costa Rica",74683943,24724278,49959665,"CRI"
"cuw","Curaçao",918677,69362,849315,"CUW"
"cym","Islas Caimán",366239,1632,364607,"CYM"
"dma","Dominica",292914,15708,277206,"DMA"
"dom","República Dominicana",51698564,2780503,48918061,"DOM"
"grd","Granada",699195,4768,694427,"GRD"
"grl","Groenlandia",0,51,-51,"GRL"
"gtm","Guatemala",173434333,2821154,170613179,"GTM"
"hnd","Honduras",74070462,2849393,71221069,"HND"
"hti","Haití",1482649,22568,1460081,"HTI"
"jam","Jamaica",11601398,31658,11569740,"JAM"
"kna","Saint Kitts y Nevis",415924,155413,260511,"KNA"
"lca","Santa Lucía",903361,4577,898784,"LCA"
"msr","Montserrat",21814,10135,11679,"MSR"
"nic","Nicaragua",41092550,331841,40760709,"NIC"
"pan","Panamá",154209013,1219442,152989571,"PAN"
"pri","Puerto Rico",63820138,10253839,53566299,"PRI"
"slv","El Salvador",73838989,1602120,72236869,"SLV"
"spm","San Pedro y Miquelón",0,2443,-2443,"SPM"
"tca","Turcas y Caicos",53355,1695,51660,"TCA"
"tto","Trinidad y Tobago",10290096,132864,10157232,"TTO"
"usa","Estados Unidos",82220434844,34522717430,47697717414,"USA"
"vct","San Vicente y las Granadinas",356850,1833,355017,"VCT"
"vgb","Islas Vírgenes Británicas",14208,29605,-15397,"VGB"
"vir","Islas Vírgenes",1419,335018,-333599,"VIR"
"glp","Guadalupe",1221,2995,-1774,"GLP"
"mtq","Martinica",1221,21143,-19922,"MTQ"
"pcz","Zona del Canal de Panamá",0,374,-374,"PCZ"
"sxm","San Martín",26835,5771,21064,"SXM"
"asm","Samoa Americana",2181,76,2105,"ASM"
"aus","Australia",85075429,57959057,27116372,"AUS"
"cok","Islas Cook",0,557,-557,"COK"
"fji","Fiji",1800,1954,-154,"FJI"
"fsm","Micronesia",0,21570,-21570,"FSM"
"gum","Guam",14886,400,14486,"GUM"
"hmd","Islas Heard y McDonald",0,39863,-39863,"HMD"
"kir","Kiribati",0,969,-969,"KIR"
"mhl","Islas Marshall",0,8681,-8681,"MHL"
"mnp","Islas Marianas del Norte",0,3935,-3935,"MNP"
"ncl","Nueva Caledonia",0,31847,-31847,"NCL"
"niu","Niue",0,21304,-21304,"NIU"
"nru","Nauru",0,3807,-3807,"NRU"
"nzl","Nueva Zelandia",9198683,12419884,-3221201,"NZL"
"pcn","Islas Pitcairn",0,2049,-2049,"PCN"
"plw","Palau",0,21593,-21593,"PLW"
"png","Papua Nueva Guinea",18302,1003,17299,"PNG"
"pyf","Polinesia francés",177271,2328,174943,"PYF"
"slb","Islas Salomón",0,351,-351,"SLB"
"tkl","Tokelau",0,6178,-6178,"TKL"
"ton","Tonga",0,100,-100,"TON"
"vut","Vanuatu",0,418,-418,"VUT"
"wlf","Wallis y Futuna",0,49883,-49883,"WLF"
"arg","Argentina",99398779,79252868,20145911,"ARG"
"bol","Bolivia",18898597,436509,18462088,"BOL"
"bra","Brasil",473771291,1285171121,-811399830,"BRA"
"chl","Chile",123878475,22922490,100955985,"CHL"
"col","Colombia",251744088,59665229,192078859,"COL"
"ecu","Ecuador",64837845,5483408,59354437,"ECU"
"guy","Guayana",10642020,214266,10427754,"GUY"
"per","Perú",175288912,22501343,152787569,"PER"
"pry","Paraguay",10142314,3560,10138754,"PRY"
"sur","Suriname",818401,2790,815611,"SUR"
"ury","Uruguay",23578676,7854991,15723685,"URY"
"ven","Venezuela",14110269,85191,14025078,"VEN"
"dji","Djibouti",825,0,825,"DJI"
"gnq","Guinea Ecuatorial",364913,0,364913,"GNQ"
"ken","Kenia",770233,0,770233,"KEN"
"irq","Irak",30523818,0,30523818,"IRQ"
"bmu","Bermuda",4996,0,4996,"BMU"
"cub","Cuba",7657557,0,7657557,"CUB"
"guf","Guayana Francesa",136700,0,136700,"GUF"
